GENE1,GENE2,SCORE,HPRD,Pvalue
IL10RA,IL10RB,2.744427212,1,0.03757
ITGA2,ITGB8,2.744361746,2,0.063202
HLA-E,KLRD1,2.744270709,1,0.063812
ITGB2,C1QR1,2.744195117,2,0.045938
MARK2,INSR,2.744162248,2,0.007461
P2RY8,AVPR1B,2.74402828,2,0.08456822
MAPK13,BMPR1A,2.743819196,2,0.024967
CAMK4,BMPR1A,2.743788702,2,0.008156
AKT1,EPHA2,2.7435877,2,0.115743
EMR1,EMR4,2.743325489,2,0.070310511
EMR4,EMR2,2.743325489,2,0.067228511
ACP2,ATRN,2.743147883,2,0.037406
FYN,FGFR4,2.743113057,2,0.107590224
LAMA1,NEO1,2.743111398,2,0.02511
CTNNA1,DGCR2,2.742953972,2,0.180515139
NRP2,LDLR,2.742689984,2,0.149898
CYR61,SCARB1,2.74266925,2,0.020203
CD9,ITGA3,2.742264776,1,0.042094
PTK7,ITGAV,2.742230996,2,0.069384
DUSP6,BMPR1A,2.742210948,2,0.013158
MC4R,MC1R,2.741357892,1,0.112368275
TRADD,NGFR,2.740642213,2,0.092400954
STARD3,LRP8,2.740379525,2,0.014953
ADAM10,LDLR,2.740331253,2,0.008778
ICAM1,CD44,2.739915427,2,0.040659
LATS1,FAS,2.739838275,2,0.046662058
ICK,ACVR1B,2.739826888,2,0.071548
PRKACB,TGFBR2,2.739824286,2,0.009681
NFKB1,TNFRSF21,2.739356391,2,0.046928
NRCAM,KDR,2.738799737,2,0.121945596
ITGB6,ITGAV,2.7383187,1,0.209157
IGF1R,FGFR1,2.738286146,2,0.039039313
RPS6KB2,BMPR1A,2.737878644,2,0.065506
HIPK2,TNFRSF10B,2.737680805,2,0.086209362
JAG1,ITGA11,2.737530574,2,0.112079
EIF3S2,TGFBR2,2.737219863,1,0.102927196
TGFB3,BMPR2,2.737139466,2,0.011620133
COL6A3,IFNGR2,2.737131396,2,0.062887
MAPK1,PTPRH,2.736667226,1,0.113031
FGFR2,NOTCH2,2.736622713,2,0.130766954
ARHGEF2,BMPR2,2.736290914,2,0.040050581
EPHB6,EPHB1,2.736006239,1,0.020125
SYK,EGFR,2.735900195,2,0.102724
YES1,NTRK2,2.735732428,2,0.041244
PRKD1,PDGFRB,2.735334594,2,0.150051906
PRKD1,NTRK2,2.73503404,2,0.104218
WNK1,PTPRF,2.734660231,2,0.113834
HCK,EGFR,2.73451603,2,0.009535
NEDD9,EPHB4,2.734351885,2,0.006733
MARK4,NTRK2,2.734103134,2,0.048061
PRKAA1,ACVRL1,2.733927764,2,0.016694597
LOC146909,CCR5,2.733836221,2,0.065594721
ITGB1,TLR4,2.733703379,2,0.291191
MYLK,PDGFRA,2.73321281,2,0.017622
EFNB1,NRXN3,2.733018098,2,0.11182
PDGFRB,ERBB4,2.732940435,2,0.108667269
TGFB1,CD40,2.732857218,2,0.124690885
IL15,IFNGR1,2.732611283,2,0.20638105
EPHA5,EPHA2,2.732574471,2,0.005751
MET,EPHA2,2.73251896,2,0.010681
C4A,PLAUR,2.732373263,2,0.075013571
ROCK2,ROR1,2.732237704,2,0.130231
HSPG2,CD63,2.732223583,2,0.154816
JAG2,PLAUR,2.731461945,2,0.043807
PLAT,PROCR,2.731212266,2,0.121785567
MAP3K7,PTPRD,2.731181025,2,0.007999
CSNK1G3,ACVR1,2.731180499,2,0.072007166
LPL,LRP1,2.730690022,1,0.010938
IGF1R,PTPRM,2.730283679,2,0.017581
TNC,SDC4,2.729762875,2,0.037615
CEACAM1,NEO1,2.72950781,2,0.030056
APOL3,IL10RB,2.729480619,2,0.155207
JAK1,TSHR,2.729404079,1,0.07119
BMP2,BMPR2,2.729323014,1,0.036209
COL1A2,ERBB2,2.728919159,2,0.007091
PRKG1,NPR1,2.728825404,1,0.008298
INSR,NTRK2,2.72867349,2,0.147176
TEC,KIT,2.728069046,1,0.059963954
MAP2K4,PTPRS,2.7279658,2,0.0218
FLT1,TYRO3,2.727632676,2,0.007217
NTN1,DCC,2.727591857,1,0.104706477
PDGFRA,IL6R,2.727525442,2,0.060945058
BUB1,BMPR1A,2.727486214,2,0.00659
FES,RYK,2.727438374,2,0.007954
PTK2,ERBB4,2.726929234,2,0.075883766
RBPSUH,NOTCH2,2.726683056,1,0.068088
MET,ACVRL1,2.725632009,2,0.068011
SNX1,ACVR2B,2.725454925,1,0.011934908
CTNND1,PTPRM,2.7254045,1,0.119917
RPS6KA4,BMPR1A,2.725298142,2,0.032886
DUSP10,TGFBR2,2.724832461,2,0.026918
SPARC,TIE1,2.724734336,2,0.037521
AKT1,ACVR1,2.724072604,2,0.067978
ADAM10,ITGA3,2.723897548,2,0.064904286
PLOD1,TIE1,2.723834498,2,0.059765668
ADRBK1,DDR1,2.723527356,2,0.177268644
PRKD2,EPHB2,2.723479018,2,0.048412
IRAK2,IL1R1,2.722963401,1,0.009514234
GAS6,FLT1,2.722760355,2,0.032254
CD14,ITGB2,2.722692268,1,0.034715
PRKCA,NPR2,2.722538928,2,0.003758072
IL6,IL6R,2.722255402,1,0.052385931
ALK,EPHB4,2.722058074,2,0.101320741
EIF4A1,PTPRG,2.721937776,2,0.022693
RPS6KA5,ACVRL1,2.721806366,2,0.066811301
OR2B2,OR2F1,2.721741145,2,0.173072855
LATS2,TGFBR1,2.721662627,2,0.16004346
ITGA2B,ITGB3,2.721601772,1,0.09548
AMFR,NRXN3,2.721494344,2,0.042124323
COMP,NRP2,2.721452288,2,0.011926
PRKCZ,TGFBR1,2.721112772,2,0.006262
STK17B,BMPR1A,2.720471845,2,0.093326
PLXNB1,NOTCH4,2.720446614,2,0.032018
BRD3,PTPRF,2.720431344,2,0.035217
TRIO,EPHA2,2.720224428,2,0.176798739
TRAF3,LTBR,2.720080364,1,0.02158403
TGFB3,MET,2.720066322,2,0.077349845
AREG,EGFR,2.720020516,1,0.006809
SYT6,NRXN1,2.719912288,1,0.097647288
PROC,PROCR,2.719602523,1,0.061909
MARK1,PDGFRB,2.719225473,2,0.029192
ROCK1,EPHB3,2.718770605,2,0.01065
EXT1,EPHB4,2.718750067,2,0.051681
DST,PTPRF,2.71873321,2,0.008612
PDGFRA,EPHB3,2.718338031,2,0.050773
APOL1,LDLR,2.718290808,2,0.057068
COL18A1,ITGB3,2.718239858,2,0.087358
TNC,GPC1,2.718042025,2,0.1509
ACVR2A,ACVR1B,2.717980267,1,0.00885
PTPRG,EPHA1,2.717905876,2,0.008413
CTGF,IL1R1,2.717826291,2,0.024475
LDLR,LRP5,2.717801518,2,0.061228648
PRKD2,ROR2,2.717741399,2,0.160612934
PLCD1,EPHB4,2.717661746,2,0.008857
RAF1,BMPR2,2.717441392,2,0.048579
CSF2RB,CSF2RA,2.717285961,1,0.037901794
C4A,CSF1R,2.717213665,2,0.148987
GAS6,ITGB2,2.717139143,2,0.171579
SNF1LK,EPHA3,2.716855194,2,0.013031
TAP2,LRP8,2.716463038,2,0.035933
TTN,EPHB4,2.716419545,2,0.114286
TRIB1,TGFBR2,2.716059615,2,0.0376
NTF3,NTRK2,2.716036912,1,0.068758088
AGRN,TIE1,2.716025131,2,0.012436
PTK7,FGFR4,2.715917294,2,0.114703
JAG1,ITGA2,2.715888601,2,0.195939399
DAPK1,TNFRSF10A,2.715828222,2,0.064749
ADAM10,EPHA2,2.715805464,2,0.124003
IL6,IL6ST,2.715768544,1,0.052543123
FRAT2,LRP6,2.715745514,2,0.014028
APOL3,IFNAR2,2.715485974,2,0.144829359
IL1RAP,IL1R2,2.715270751,1,0.034315
RIPK1,TGFBR2,2.71526956,2,0.043869393
DCBLD2,UNC5C,2.7151174,2,0.054348733
TNFSF10,TNFRSF10C,2.714861685,1,0.02899
RIPK1,BMPR1A,2.714668568,2,0.047267
LAMA1,PLAUR,2.714480589,2,0.175451
GNB2L1,TFG,2.714459467,2,0.195337533
ITGB2,IL6R,2.713814798,2,0.094797536
MAPKAPK2,ACVR1,2.71381349,2,0.060317
C3,IFNGR1,2.713485659,2,0.053918
IL13,CCR6,2.712887046,2,0.164381046
PRKCA,TNFRSF21,2.712831887,2,0.094401
LSP1,CCR6,2.712169026,2,0.135851807
STK38L,TGFBR1,2.711996884,2,0.007571
H3F3B,DGCR2,2.711822717,2,0.042838
FYN,EPHA5,2.711784293,2,0.025538
PTPN1,EPHB2,2.711704859,2,0.173299359
ADM,IL10RB,2.711296996,2,0.127559
PRKD2,TGFBR1,2.710929021,2,0.051269
CYR61,DDR1,2.71030148,2,0.05605
SPG7,ERBB2,2.710225802,2,0.161183531
PKD1,CELSR2,2.71001897,2,0.021801
TRAF5,TGFBR2,2.709994282,2,0.04533
IRS2,EGFR,2.709975508,2,0.185991
IFNAR2,IL7R,2.70973036,2,0.051055
FN1,ITGA9,2.708563374,2,0.021781
YES1,EPHA4,2.708527573,2,0.089458594
PTGS2,IFNGR1,2.708367152,2,0.00563
TRAF2,TNFRSF19,2.708103526,1,0.014642859
EDIL3,ITGB5,2.708049733,2,0.054460934
JAK1,MERTK,2.707944437,2,0.055036937
JAG1,ITGA3,2.707714791,2,0.000913876
TNC,GABBR1,2.707084954,2,0.035451
CCL4,CXCR3,2.706811301,2,0.134769699
SPP1,IFNAR1,2.706653412,2,0.082825921
EPHB2,ERBB3,2.706578546,2,0.142785455
PTPN11,LEPR,2.706516551,1,0.005401
PRKD2,IGF1R,2.706356825,2,0.017709
K-ALPHA-1,TNFRSF1A,2.706096303,2,0.023429
CCL21,CCBP2,2.706083739,1,0.106402094
MAP2K6,ACVR1,2.705900251,2,0.065155917
PTPRU,ERBB2,2.705781782,2,0.057237
YES1,PTPRJ,2.705568572,2,0.103808072
TMED1,IL1RL1,2.705540593,1,0.010928
YES1,TEK,2.705249528,2,0.046602
FAS,ITGB1,2.704154748,2,0.016314
PLK1,BMPR1A,2.703989962,2,0.007976
COL1A2,ITGA2B,2.703984821,1,0.053561
SNX17,LRP8,2.703917642,1,0.01736
PLAT,F3,2.703831945,2,0.028063722
TRIO,EPHA5,2.703798262,2,0.117744238
GRSF1,ATRN,2.703693852,2,0.100731
FDX1,LDLR,2.703355952,2,0.013455
ABL1,AXL,2.70326868,2,0.017158
PSCD1,IGF1R,2.70318394,2,0.083987
PPAP2A,LRP1,2.703071364,2,0.049169
RPL4,CD63,2.703050321,2,0.029379
COL4A2,ITGB1,2.702901853,2,0.092180187
STAT5A,TNFRSF7,2.702843792,2,0.103915208
PCTK3,ACVR1B,2.702618544,2,0.007368
MAP4K5,BMPR2,2.70234294,2,0.139573
TGFB2,ENG,2.701956978,1,0.010975
AKT3,RYK,2.701917892,2,0.010838
SLIT2,NRXN3,2.701893612,2,0.077762112
NRG1,ERBB4,2.701487997,1,0.04077
FES,EPHA3,2.701426832,2,0.007801
PROK2,CXCR3,2.701211305,2,0.165498
HBEGF,EPHB4,2.700558622,2,0.046180789
CD69,IL2RB,2.700446768,2,0.010675565
GAS6,NOTCH4,2.700153602,2,0.025828
MKNK2,BMPR1A,2.699954502,2,0.024469669
GP1BA,ITGAM,2.699909148,1,0.040255
IGFBP3,BMPR2,2.699212458,2,0.056901
RASA1,CSF1R,2.698518699,1,0.006794
LCK,FAS,2.697990635,1,0.067699
HIPK2,TNFRSF10A,2.697872628,2,0.147328206
WNK1,BMPR1A,2.697598679,2,0.006193
ROCK1,ACVR1,2.697507089,2,0.019015
EDN3,EDNRB,2.697427799,1,0.032508
FN1,NOTCH1,2.697194052,2,0.076794948
EDD1,DDR1,2.697010424,2,0.185891
MALT1,TNFRSF10B,2.696899402,2,0.005323
GAS6,ERBB4,2.696831935,2,0.141949731
CCR2,CCR5,2.696797684,1,0.032713
ABL1,ROR1,2.696743913,2,0.0101
PLAT,ITGA2,2.69665285,2,0.012720983
GPX4,NOTCH1,2.69663578,2,0.056082
SEMA6A,LRP1,2.696555688,2,0.017283
CCL19,CCR7,2.696117489,1,0.010048
CTSH,ENG,2.695791142,2,0.110975
FAT,SMO,2.695731265,2,0.160403
PLCG1,ALK,2.695651987,1,0.012436
TRIO,ACVRL1,2.695594059,2,0.000785274
ROR2,MERTK,2.695578728,2,0.021019
LAMA1,NRP1,2.6953646,2,0.008586
PCOLCE,FGFR1,2.695349042,2,0.186636
MAP3K4,TGFBR2,2.695297455,2,0.026358212
NOTCH1,IL6ST,2.695237908,2,0.035914
FYN,ROR1,2.695013196,2,0.031831637
CDH11,OPRS1,2.69484712,2,0.050777
FGFR4,CSF1R,2.694770399,2,0.113468
SMURF1,TGFBR2,2.694741731,2,0.060353
STK17B,ACVR1B,2.694555794,2,0.086237373
SNF1LK,ROR1,2.694450139,2,0.038912472
VLDLR,PLAUR,2.694429597,2,0.056359
CCL8,CCBP2,2.693747919,1,0.166072
CSE1L,NOTCH2,2.693607735,2,0.178854
CCL21,CCR7,2.693385912,1,0.005688
CCL17,CCR8,2.693313047,1,0.041688
UBC,TFG,2.693199663,2,0.038825
AP2A1,GHR,2.692837968,1,0.010029
MYH9,BMPR2,2.692339795,2,0.001897962
UNC5B,ITGB5,2.692031224,2,0.046818
MSI1,LGR5,2.691905112,2,0.019564
ARRB2,PTAFR,2.691714632,1,0.074471632
RAF1,TNFRSF21,2.691582972,2,0.076311
AP2M1,TNFRSF1A,2.691392884,2,0.027209
PROS1,ITGB1,2.690709471,2,0.006197
INSR,FLT1,2.6904044,2,0.044825
TRIM23,PTPRF,2.690294313,2,0.007363
BACE1,NCSTN,2.69018577,1,0.13492577
THBD,IFNAR2,2.690184306,2,0.077384472
PRDM10,F2RL1,2.689939395,2,0.132590395
VEGFB,FGFR1,2.689183707,2,0.152645793
SGK3,BMPR1A,2.688751813,2,0.093715
AGRN,KDR,2.688599104,2,0.10472
ABCD4,EPHA2,2.688289654,2,0.040926
RPS6KA2,BMPR1A,2.68812812,2,0.04141412
DCX,TLR10,2.687777778,2,0.056979
ZNF530,ADMR,2.687777778,2,0.046998722
PDLIM1,ITGB1,2.687744759,2,0.007293
HYAL2,MST1R,2.68770709,1,0.161778923
FLT1,FGFR4,2.687453881,2,0.027319
PRKACB,ACVR1B,2.687346153,2,0.045635347
CD83,NOTCH1,2.68714914,2,0.03497686
TNC,IGF1R,2.686998927,2,0.023039
CCL11,CCR5,2.686246545,1,0.031541
SRC,PDGFRB,2.686193302,2,0.030901
MARK2,DDR1,2.68616571,2,0.009747
HSPG2,BMPR2,2.686013525,2,0.080948
CSNK1E,BMPR2,2.685711719,2,0.051367114
LAMA3,AMFR,2.685374506,2,0.047153
CSRP3,GPR61,2.684920635,2,0.021453635
PTPRG,ERBB4,2.684898159,2,0.085366
CYR61,NCSTN,2.684718271,2,0.054985
GRK5,BMPR2,2.684673981,2,0.006768
FN1,LTBR,2.684062739,2,0.095529094
ROCK1,TNFRSF21,2.68405678,2,0.026094446
CAV1,EDG1,2.683790624,1,0.02085371
STK3,TNFRSF10B,2.683757866,2,0.012609
LAMA2,ITGA2,2.683675035,2,0.042506368
IL10,IL10RB,2.683659734,1,0.070836766
MAPK6,TGFBR2,2.683297108,2,0.052772
SNF1LK,BMPR1A,2.68304669,2,0.009782
PDGFRA,TIE1,2.683044985,2,0.048376818
LAMC1,CELSR1,2.682761647,2,0.117650813
PKD1,ITGB6,2.682599697,2,0.041993
PRKD3,KDR,2.682160165,2,0.101565
RPL4,TFG,2.681757085,2,0.055126
PLAT,TLR4,2.681654075,2,0.064798091
CST3,CD63,2.681567774,2,0.245210107
CDH11,PLAUR,2.681409882,2,0.006667
PMM2,ENG,2.68126094,2,0.268256
HSPG2,PTPRG,2.681117844,2,0.041467
PKD1,BMPR2,2.680986081,2,0.017826
PRCP,ENG,2.680218133,2,0.075572
BMP7,BMPR2,2.680186157,1,0.067486
ENG,ITGB5,2.680021312,2,0.011763
ITGB1,PVRL1,2.679768603,2,0.054553
NRG1,NRP1,2.679588398,2,0.024012
PALLD,FGFR1,2.679415379,2,0.048244
SNF1LK,EPHA1,2.679209024,2,0.129169
TRAF4,TNFRSF1A,2.679163719,2,0.081857
TRAF2,TNFRSF10B,2.678977691,2,0.020397
PDGFRA,EPHA4,2.678875532,2,0.231717
PRKD2,TIE1,2.678738462,2,0.010978
PRKD3,FLT1,2.678712506,2,0.038686
DUSP4,TGFBR1,2.678673017,2,0.028522
ITGA5,ITGB6,2.678603803,2,0.11543303
LRPAP1,LRP8,2.678509147,1,0.028579
VNN2,ITGB2,2.67846583,1,0.006067
PTPN12,INSR,2.678257056,1,0.006534
ILK,ACVRL1,2.677854159,2,0.006314
PRKD3,EPHA2,2.677713296,2,0.01154
DKK2,LRP6,2.677302504,1,0.022097329
CSPG2,EMR3,2.676638058,2,0.075229
CD81,PTPRF,2.676422658,2,0.106878
PIM1,BMPR1A,2.676368662,2,0.016221
LATS1,NTRK3,2.676326683,2,0.026572
JAG1,IGF1R,2.676286301,2,0.140629
ACTB,PTPRG,2.676175721,2,0.054703
MCAM,NTRK2,2.67584424,2,0.023866
GRB14,TEK,2.67582859,1,0.020436
TRAF1,TNFRSF1B,2.6758189,1,0.034032766
DCAMKL2,TGFBR2,2.67519971,2,0.041368
CEACAM1,PTPRF,2.675195398,2,0.030518
CCL8,CCR3,2.67518108,1,0.006894
TRAF3,TNFRSF9,2.675133129,1,0.009545
CTGF,IGF1R,2.674694107,2,0.021646226
DVL3,CSF1R,2.674287715,2,0.037381
JAG2,NTRK2,2.673868337,2,0.10745
FST,NEO1,2.673840336,2,0.014575
EPHB4,LRP5,2.673662036,2,0.077412
FGF5,FGFR1,2.673513737,1,0.035562903
ROCK1,KIT,2.673251645,2,0.084172689
JAK1,PDGFRB,2.673210054,2,0.008816
KIAA0350,IL17RB,2.672987013,2,0.025492
PDGFRB,KDR,2.672944408,2,0.124479
ARRB1,ADRB1,2.672764705,1,0.050957
IGF1R,EPHA4,2.671917585,2,0.013740748
THBS1,TLR3,2.671847797,2,0.005763
AKT3,BMPR2,2.671800346,2,0.033764
FZD4,FZD6,2.671030214,2,0.190202286
EMP1,CELSR1,2.670361159,2,0.013721326
IL1RAP,PLAUR,2.670252807,2,0.053334307
TIMP1,KDR,2.669918062,2,0.014554
HTR1B,HTR1E,2.669856557,2,0.13952
PTH,PTHR1,2.6693846,1,0.050557
LDLR,EPHA5,2.669347548,2,0.013211
PTPRF,MERTK,2.669316248,2,0.151154418
MET,AXL,2.669111419,2,0.029127081
CCL3,CCR4,2.668991133,1,0.102735
F3,ITGB1,2.668429632,2,0.013612
C3,MERTK,2.668280131,2,0.216740869
EPHB2,NOTCH4,2.668249245,2,0.082652755
LRP6,CELSR2,2.668218048,2,0.039418
ATP5A1,TFG,2.668157881,2,0.034811
PLCB4,LRP8,2.667996113,2,0.033697279
JAK1,IL2RB,2.667818053,1,0.007105
MET,CD44,2.667622961,2,0.279667
IGFBP7,ITGB1,2.667582093,2,0.067211
PPAP2A,LRP5,2.667468411,2,0.066156589
TGFB1,IGF1R,2.667318416,2,0.036267
LRPAP1,SORL1,2.667298149,1,0.040057
FES,TGFBR2,2.667064558,2,0.033191
MET,NTRK1,2.66670273,2,0.076175
SEMA5A,NOTCH2,2.666571543,2,0.123175
ROCK2,ROR2,2.666006553,2,0.041187
ACHE,ENG,2.665523068,2,0.013810401
CDH13,CD63,2.665357922,2,0.06654
LAMA1,PLXNB1,2.665171512,2,0.11167
GAB1,PDGFRA,2.665023085,2,0.036075
C7,ITGA2,2.664959822,2,0.185096511
TNC,ITGB6,2.664901839,1,0.011413
TNFRSF7,NOTCH4,2.664526133,2,0.062167
C3,IL10RB,2.664493652,2,0.008803
EPHA1,ERBB2,2.664310484,2,0.12374
FGFR4,DDR2,2.664071024,2,0.060707
COL11A1,ITGA2,2.664002964,2,0.10756
K-ALPHA-1,DGCR2,2.663006477,2,0.034892
ULK1,ACVR1B,2.663001079,2,0.020676412
CRK,EPHB3,2.662630764,1,0.01279
EDD1,DDR2,2.66241056,2,0.012871
ADAM15,PLAUR,2.66221291,2,0.093563923
PDGFRB,FGFR4,2.662095358,2,0.179860142
CASP8,TNFRSF1A,2.66202831,2,0.030283
ACVR2A,ACVR1,2.66196159,2,0.046845243
MYD88,TLR4,2.661705621,1,0.011456
CYR61,NRXN1,2.661352719,2,0.007202
COL6A2,TNFRSF1A,2.661174614,2,0.042129
TIMP1,ATP6AP2,2.661066304,2,0.118938
ROBO3,FLT1,2.660966402,2,0.209582
RPS6KA2,BMPR2,2.660803316,2,0.073208
CAMK1,ACVR1B,2.660763579,2,0.007243412
SPG7,DDR1,2.660637409,2,0.093682
EXT1,CELSR1,2.660633411,2,0.134814
GPI,DGCR2,2.660503998,2,0.026554836
CFLAR,TNFRSF1A,2.660477249,2,0.012793
EPHA5,ROR2,2.660334816,2,0.103943
TLN1,ITGB1,2.66026325,1,0.045549583
CD74,UNC5B,2.660091031,2,0.136225
ITSN1,FGFR1,2.660022851,2,0.059014
TRAF5,TNFRSF7,2.660016783,1,0.128168217
KIAA1549,C11orf41,2.66,2,0.158151
KAP2.1B,OR5I1,2.66,2,0.12
KIAA0523,P2RY8,2.66,2,0.125
OR2K2,OR2F1,2.659999241,2,0.158160426
OR1D2,OR7C1,2.659999241,2,0.158160426
LPHN3,ELTD1,2.659992155,2,0.010534155
JAG1,ITGB6,2.659919256,2,0.038187
LAMA2,PTPRF,2.659864424,2,0.007645
COL18A1,EDNRB,2.659572407,2,0.006479
FLT1,LRP5,2.659504843,2,0.016775157
ARHGEF11,TYRO3,2.659306682,2,0.013756
CX3CL1,ATRN,2.659299502,2,0.009952835
CBL,EPHB2,2.659168029,2,0.171573196
HTR1D,HTR1E,2.658679533,2,0.008248
HRMT1L1,FGFR1,2.65837874,2,0.175332426
MAP3K3,TGFBR2,2.65833398,2,0.146082853
AGRN,EPHB2,2.658181604,2,0.032550104
CRKL,EPHA4,2.658165943,2,0.00482
MAP3K2,TGFBR2,2.657917872,2,0.03172
SPPL2B,LRP8,2.657890475,2,0.012886025
THBS1,SDC4,2.657590253,2,0.133366
STAT1,IL10RB,2.657558417,2,0.016472
PRKD1,FGFR1,2.657555724,2,0.020884
CIT,IGF1R,2.657339531,2,0.0332
PRPF4B,BMPR1A,2.657037439,2,0.019342
MARK2,BMPR2,2.657032582,2,0.01578
CSK,EPHA2,2.65677863,2,0.127049
SPARC,DDR1,2.656717373,2,0.126760706
IFNB1,TLR1,2.656665537,2,0.042002463
PTPN11,FGFR4,2.656644312,2,0.037548
STAT6,PTPRF,2.656081675,2,0.005877
HIP2,FGFR1,2.65603064,2,0.00796
PTGS2,ITGA2,2.655927673,2,0.03333
COL16A1,NRXN3,2.655889812,2,0.071018688
PTK2B,ROR2,2.655775778,2,0.033522278
DUSP10,ACVR1,2.655436727,2,0.088827
LTA,TNFRSF1B,2.654896383,1,0.005403
CST3,DDR1,2.654535856,2,0.08308
ERBB2,UNC5C,2.654501497,2,0.012242
SEMA5A,NTRK3,2.654445571,2,0.018398738
PCDHGC3,CMKOR1,2.654291114,2,0.128638
SRC,INSR,2.654166048,2,0.035185
LGALS3BP,CELSR1,2.654119867,2,0.058579533
ITGB1,ITGAV,2.654020463,2,0.013619
ARHGEF11,EPHB2,2.653826808,2,0.011932
BTK,FGFR1,2.653649472,2,0.123782695
NCK1,EPHB2,2.65356985,1,0.016496
ERBB2,NTRK2,2.653556272,2,0.008402
CFLAR,TNFRSF21,2.653245364,2,0.044375
SNF1LK,FGFR3,2.653224048,2,0.061372619
PRKD2,ACVRL1,2.653020358,2,0.014232
BMP4,NRP1,2.652861891,2,0.030961
IFNG,CCR6,2.652599754,2,0.031553
HRMT1L1,EPHA1,2.652484287,2,0.095675213
ADRBK2,ROR2,2.652352599,2,0.174925067
ACSL4,ATRN,2.652268994,2,0.053021
INPP5D,IL4R,2.652174372,1,0.173246
ADAMTS1,NOTCH2,2.652105398,2,0.073186
PSCD2,AXL,2.651895202,2,0.034823
SYK,EPHA3,2.651776774,2,0.005178893
IFNAR1,IL2RG,2.651584145,2,0.162896521
VEGF,CD44,2.651373709,2,0.070693
GPC4,NOTCH2,2.651268549,2,0.064859882
CBL,GABBR1,2.651154238,2,0.015902
PLAUR,ITGAM,2.650729014,1,0.007071
NRP1,ITGA5,2.650583686,2,0.049565
SORT1,ENG,2.650511312,2,0.060039
IGFBP3,CD44,2.650275732,1,0.066088
COL4A5,C1QR1,2.650113905,1,0.013269
COL6A2,TNFRSF12A,2.649962766,2,0.053324
MKNK1,BMPR2,2.649208415,2,0.060113
IL8,IFNAR2,2.649132723,2,0.160583777
C3,LRP1,2.649061546,1,0.079804787
IKBKB,TNFRSF1A,2.649035089,1,0.131920922
SLIT2,FGFR1,2.648720473,2,0.005128527
COL1A2,EPHB4,2.648583774,2,0.065511726
COL6A1,FGFR3,2.64849022,2,0.080184
VEGF,TNFRSF1A,2.648480296,2,0.093332
FGFR2,PTPRF,2.648333332,2,0.011823
LAMA2,VLDLR,2.648223376,2,0.080112
IL2RG,IL6R,2.648198493,2,0.125757674
IRAK1,TGFBR1,2.647992859,2,0.006585
CD59,CD9,2.647906004,1,0.025439
RYK,FLT1,2.647754447,2,0.082182219
TGFBI,CD44,2.647737702,2,0.111892
COL3A1,ERBB2,2.647723458,2,0.132068209
CD59,LTBR,2.6477158,2,0.077753533
MAP4K5,BMPR1A,2.647616716,2,0.047528
LGMN,LRP8,2.647263905,2,0.06164
IFITM1,CD81,2.64723592,1,0.09099958
C3,C1QR1,2.647108546,2,0.047314
LTB,TNFRSF1A,2.646979248,1,0.016795085
JAG1,DDR1,2.646786262,2,0.133241
FZD7,UNC5C,2.64672933,2,0.000988337
TIMP3,PTK7,2.646698732,2,0.026801
ANGPT2,TEK,2.646663968,1,0.010332
APP,LRP6,2.646619987,2,0.013895
DDR1,TYRO3,2.646560544,2,0.111493956
PKN2,BMPR2,2.646550545,2,0.007662
GRB7,INSR,2.646362214,1,0.021341
CD44,SELE,2.646101365,1,0.007174
NTRK2,ERBB4,2.646016769,2,0.043793769
AKT1,PDGFRB,2.645411712,2,0.011546
YES1,EPHB2,2.645380549,2,0.139844
ADRBK1,ACVRL1,2.645333347,2,0.005181
FN1,CXCR3,2.645202909,2,0.189384
IFNAR1,IL7R,2.645137752,2,0.010497
INHBA,BMPR2,2.644742921,2,0.024481
FES,LEPR,2.64458113,2,0.052158
EGFR,LRP5,2.644483442,2,0.041965608
FN1,CD97,2.64416691,2,0.022072
DDR2,EPHA2,2.64414441,2,0.074941244
EPHB2,PDGFRA,2.644112359,2,0.057246859
PTPRD,EPHA4,2.644000186,2,0.101025186
FN1,IFNGR2,2.643087758,2,0.152438
CCL2,CCR2,2.643051492,1,0.008491
NFKB1,TNFRSF1A,2.642440521,2,0.037852
MRPL21,LDLR,2.642422469,2,0.121399469
DLG5,ITGA3,2.642099564,2,0.00898
MYLK,PDGFRB,2.641912442,2,0.014521
SYK,EPHA4,2.641795234,2,0.158287766
LAMA4,ITGB4,2.641790509,2,0.018915
SPOCK2,FLT1,2.641763099,2,0.052448
NRG1,EGFR,2.64169518,1,0.038909346
PLAUR,NRXN1,2.641676956,2,0.003820456
HDDC2,CD44,2.641643084,2,0.056059
MFNG,NOTCH1,2.64124358,1,0.012117
INSR,TYRO3,2.64107878,2,0.12064
PRKAR1A,EGFR,2.640963078,1,0.075902422
PGF,IGF1R,2.640962291,2,0.136904
TNF,TNFRSF1B,2.640635341,1,0.077457992
TGFBR2,ERBB2,2.640017545,2,0.034549
ICAM2,ITGB2,2.639707328,1,0.064214
CYP7B1,LDLR,2.639584473,2,0.109763
PCDHGC3,SMO,2.639577643,2,0.060266
EPHB1,AXL,2.639269673,2,0.011861827
LYN,ROR1,2.639227406,2,0.095546239
PECAM1,ITGA5,2.639149867,1,0.015158
TRAF2,TNFRSF1B,2.638614197,1,0.078106
ACTB,DGCR2,2.638585229,2,0.035894
ERBB3,EPHA1,2.638312616,2,0.055015616
